,palabras,Personaje
10,good lord lock load sword azeroth sheldon swordmast goodby peasant rogu knight peopl read charact descript wait wait wait somebodi click wooh sweati anybodi want second life swim built virtual pool forget mail took accident purpos excus talk penni thought pleas tell hopeless infatu devolv pointless jealousi well least retriev black twist smoulder wreckag fantasi date analys data crash geek mountain dietician cafeteria limp lazi well think shot notic lesley winkl recent start shave leg given winter come assum signal sexual avail depend learn robot abl handl learn robot would bound asimov three law robot cours well internet half hour seen look go week mope tediou song call come store look cat know take good lord compil doubl suicid leonard take suppli hope scratch post leonard listen leonard realli think satisfi need relationship genet alter come leonard obvious penni okay look think much chanc sexual relationship penni hubbl telescop discov centr everi black hole littl flashlight search circuit breaker nevertheless feel oblig point reject point point goodi get could specif dark crescent shape pattern arm conceal nice time date perfect give hour fifteen minut dens molecular cloud arami dissip rugbi team would join well alway possibl alcohol poor judgement part might lead nice romant even cours possibl date kick rather unpleas month pass awkwardli hall break move anoth code could would start okay well calm alright alright well close eye increas alpha wave activ feedback techniqu relax brain wave manipul read paper journal american neurosci littl spars sourc think basic scienc valid probabl somewher tell okay assum noth vener tell routin colonoscopi quit bounc back thought want cancel would expect date score liquor poor judgement,Sheldon
11,panic last hour warrior unsheath weapon magic wielder rais wand stay format alright tail prehensil swat trap flank forget sword sheldon help dammit die bastard teleport betray money look avatar right excus right right right right right exit hallway penni mailman look penni kiss hunki sorri much yeah mail probabl good idea civil servant document propens know snap problem return apart fine penni fine kiss realli fine wrong jealou littl concern like look yeah kinda dreami well done penni go realist someon speed know olivia geiger yeah look howard lesley winkl would dinner go walk strip nake danc hello lesley lesley would like propos experi right lesley would like propos experi pfff done second minestron anyway think social explor neuro chemic overlay go characteris modif colleagu friendship paradigm addit date like compon need quibbl terminolog gener accept pattern area would pick take restaur would movi probabl romant comedi featur talent hugh grant sandra bullock heartrat pheromon mean kiss defin paramet kiss thank take mint shall count three propos experi think present find first none well thank time none enter go tri kiss earth move mean mile go move anyway sing know wear chain good song know think taken asthma account felin geneticist diego develop cutest littl hypo allergen calico think name kind torn einstein newton sergeant fuzzyboot mayb cute littl cuddli matter woman interest woman reject right right march good afternoon penni wonder plan dinner inher ambigu word dinner technic refer largest meal whenev consum clarifi dinner mean supper dinner think thirti differ time realli great guy might subset might algebra speak mani unknown exampl sheldon quizzno lunch sometim find fill time fault quizzno vari menu great time still good carv stone chisel carv okay thirti look tell perspir littl thirti much ever come join stuf chicken carbonara quizzno reason know mayb good idea right alcohol poor judgement could well could stop could well mean perfectli nice reason restaur love dinner mayb take walk afterward talk thing common love potteri love potteri know paus know happen lean kiss littl tent first realis kiss back bite lower know want thing go distanc go panic attack could calm panic attack call panic attack okay kid need call cancel know tell sick kind ill make want come take care noth critic feel uncomfort go futur want give phone show still expect stop ask question need take anoth shower yeah turn howard work sheldon colonoscopi quit bounc back kid well someth common peopl live want intestin polyp noth well except string theori much happen sinc prove string theori best look idea intern logic consist cheesecak factori good good hallway friend wave away say thing doug back start rebound sure thirti hour experi thirti hour spread gloriou summer well chafe right cours yeah emot chafe want someth cool penni nod make oliv glass without touch physic place glass oliv spin oliv get caught side actual centripet forc inward forc gener glass act oliv oliv drop excus leonard disappear tabl ride oliv inerti refer frame would bang head undersid tabl yeah okay spill ketchup okay okay stop bleed sick sorri poor bike nice time yeah cours hang bunch guy show work colonoscopi take girl date know date capit bold face underlin like think might littl concuss go good night awesom,Leonard
12,alright feet gentlemen gate elzebub stay frosti hord arm goblin side gate guard sword azeroth blow gate stand slash move slash move leonard tail sheldon sleath spell sheldon sheldon leonard look swordmast sound like neighbour home steal snail mail school like kiss kind kiss cheek lip chast french romant look better disagre love sprint marathon relentless pursuit end fall arm hit pepper spray know guy work pitfal trust know come sexual harass self taught expert probabl okay sheldon robot knew would want tell mayb although histori scienc fiction side true ever harm human inact allow human come harm ever harm allow harm except case human would endang smell robot lesley well usual wolowitz solut happen know place plenti elig women leonard could pick leonard think tishman treat,Howard
13,oooh blow gate control shift mani goblin leonard tonight spice meat goblin blood oooh sell sword azeroth ebay matter like might bound right also sheldon robot could power,Raj
14,leonard doug doug neighbour leonard everyth okay thank talk mailman okay well thank open door leonard mean dinner tonight supper thirti great yeah like hang guy know sheldon howard come okay whatev sound like thirti fine thirti great rest guy meet uncl colonoscopi world physic realli noth well sure thing pick much chocol lime move pretti well doug yeah dunno mean nice funni like drink okay well know still get break kurt thing doug would rebound pattern break find cute thirti meaningless well know usual weekend trust feel good emot centrifug forc okay sure want emerg room know throw sign concuss okay fine window yeah good night leonard turn across hallway leonard suppos date okay check,Penny
15,think time travel back burner anyway occur ever perfect time machin past give thu elimin need invent first place yeah realli take pressur time travel leonard alreadi done congratul order know go enjoy parti last depart parti finkleday corner talk spelunk minut know interest cave leonard noth pleas meet gablehous fortun univers chosen hire despit fact done origin research year instead written seri popular book reduc great concept scienc seri anecdot dumb accommod durat averag bowel movement mahalo know eight conson hawaiian languag well interest turn event plausibl explan work robot made amaz leap forward actual real scientist leonard believ fire defenc prefac say respect morn breakfast experi final time test hypothesi separ water molecul protein impact tast want back spent last three half year stare greaseboard full equat spent four year work thesi colleg fifth grade first decad go savour fix egg fix everyon egg egg knock door well would circumst peopl unfamiliar larg number would call coincid need egg four dozen suffic evenli distribut amongst brown white free rang larg extra larg jumbo never mind right better come take sabbat mediocr mind theoret physicist can yeah unless door connect relay motion sensor involv first door close caus chang pressur act upon second door slow slow pleas slow look leav enough space car math weigh sorri insult bodi mass somehow tie self worth interest anyway give total weight fine travel forward good lord mile hour assum brake callip align still time come stop occupi space buick front imposs natur quickli resolv death mutil look built cours great look real world ordinari peopl live ordinari colourless workaday live thank thank ordinari person want hear interest thing tomato anyon know anyth dynam bacteri growth know pick refriger food supermarket thing tomato think realli enjoy shelv veget technic fruit penni select vitamin supplement well valu take multivitamin human bodi absorb much buy ingredi expens urin well want manganes mayb tomorrow warehous store sure advantag buy bulk exampl notic purchas tampon month suppli time well think product spoil go need least next thirti year well thirti thirti five mother menopaus penni natur human process talk statist signific save assum tampon cycl cycl fairli regular penni shut door face okay warehous store still golf right think time month mark calendar futur refer experi dead scrambl egg good ever go read articl japanes scientist insert lumin jellyfish anim thought fish nightlight billion dollar idea shhhhh much shhhhh begin also idea bulk mail order feminin hygien compani glow dark tampon leonard go rich look round mommi mouth call mother thank work lumin fish thought loom know sarap poncho sarap open side poncho close poncho neither reason call someon mother went market penni well buckl next four eight day go crabbi well child grown capabl live life certainli need someon tell mother room allow hungri merg bedroom area ross cobbler take put plate look round group matter frighten anim everyon leonard look meal morn idea would look like silicon base life form want yeah go apologis anyth true kick stupid death work gablehous know sever week first encount gotten wrong foot call idiot want wrong point leav okay back quit sure involv part human experi alway elud thank gablehous go daddi urn sleep glow lumin goldfish,Sheldon
16,roadblock invis interest sound like breakthrough call scienc magazin tell hold front cover exit apart guess congratul order know familiar well avoid finkleday meet depart head congratul shake hand mahalo nice touch interest lead buffet india see howard enter statuesqu blond howard brought date sheldon come boss polit well call glorifi high school scienc teacher whose last success experi light fart morn make egg breakfast look like breakfast sound yummi look forward work bacon know sure apologis gablehaus would give back okay back fix egg thank enter penni seem upset someth fish happen scrambl research fish fish nightlight word sheldon sure want apologis gablehaus back like lumin fish right thank come short notic know els lost focu everi obsess enter apart sheldon weav loom wrap poncho particularli disturb great mind twenti first centuri rais glow dark fish weav sarap realli last time left hous three week go sheldon made dinner love stori go anyth sheldon sound like wise death coupl singl like individu wrap slice chees friend ridicul dammit sheldon snap physicist belong univers research hide room sheldon scuttl away realli impress realli happen narrow,Leonard
17,scienc bitch introduc special ladi friend summer put around right sorri howard wolowitz excus bold sheldon get smoulder good look yeah look come,Howard
18,look buffet love america cours indian food find bagel mumbai save life schmear,Raj
19,pop head round run market guy need anyth sorri four dozen okay time come work today can well mayb best know alway door close anoth open meant never mind fine sure well yeah thank realli listen need egg okay well mayb start head interest mean find enjoy well mayb go know sheldon go take recov today want thirti year worth tampon okay talk sure thing shelli ever freak like happen best cobbler ever love,Penny
20,alright move infantri divis augment battalion orc lord ring flank tennesse volunt north win battl gettysburg know good statist unlik like hamburg usual hamburg make assumpt like hamburg burger excus world alreadi includ would settl someth like fine barbecu burger waitress yell disturb aberr ask embarrass failur sorri suppos secret well assum meant togeth would constitut coupl other might consid cute altern somewhat less like interpret could manufactur look leonard lesley made goldfarb ador lucki leonard talk three western hemispher capabl follow train thought said could follow care need opinion matter semiot semiot studi sign symbol branch philosophi relat linguist come well mean eleven say leonard girl enter live room awkward usual plan courtship advanc notic last time abl book cruis arctic solar eclips date happen coincid well leonard pick violin case either lesley winkl gangster wait hold know protocol stay leav wait greet refresh beverag leonard sheldon live room want know messag receiv welcom carri give best lesley wake look watch wrap self blanket walk toward kitchen someon touch board board leonard leonard equat someon tamper equat cours sure look beta function quantum chrono dynam sign chang insan mind look fix problem cool hold hold told could touch board come hous touch board inconsider adject inconsider insid stare mull come wound aw tight sexual intercours realis share nobel prize booti call intellig lucki believ lucki leonard still care know think misjudg restaur limb think look tuesday hamburg ahead think move thursday drop soup plantat yeah name alway confus anyway soup plantat grow soup terrif happi know plan come everi tuesday night forese futur speak perman reserv tabl know hamburg surpass singl decker hamburg wherea doubl decker much satisfi meat condiment ratio cours listen blah blah hopeless penni delus blah blah blah,Sheldon
21,orc magic superman vulner magic mention alreadi lost godzilla illinoi cavalri hulk orc hamburg like hamburg sorri give hamburg make lesley lesley penni live across hall sheldon lesley research togeth univers happen elliot wong yeah sure place yeah parent felt name leonard put advanc placement class get beaten enough lesley kid thank sheldon penni mean make cute coupl penni know lesley alreadi turn would unambigu mean penni thought lesley indic penni interest ask penni know ask lesley lesley turn penni could offer consol would made cute coupl think good leonard remain avail well think thank lesley thank includ sure realli thought interest mean cello kid penni well poppi seed bagel breakfast could give posit urin test opiat certainli dilat pupil guess point bring noth go penni yeah yeah guess yeah yeah good want start okay littl music foreplay terrif good good enter matter sure yeah problem thank work exit apart stare board sheldon still go right pretti good pretti realli object scale delin variat good sheldon realli differ question sheldon thank mean happi happi see someon happi think happi anyon care someon would want happi even reason happi made first person unhappi know second person though happi romant unavail first person know ridicul care penni think lesley terrif girl attract like extrem intellig fix equat believ luck regardless chanc real relationship lesley go pass hypothet futur happi woman want happi woman current make happi yeah lesley brrrr smash flash frozen banana anyway put arm around hello extend intimaci want slip radiat share decontamin shower sure think discov banana felt yeah well glad part happen okay thank want make plan year leav sorri doctor internet well know well part true kid tuesday hamburg broken heart realli honest think go work well mean gener platitud subtl attent even listen okay know grow ingredi soup sheldon nod,Leonard
22,fast rememb south still infantri divis plu superman godzilla hang honey shiva ganesh hindu god entir union armi recommend someon work size appetit morn weight train cardio funk take heart smart platter walk quiet beauti like night music happen human beatbox matter take order neurot talk look doctor stud blogospher buzz news lesley winkl make ein klein bang bang music,Howard
23,robert charg line shiva ganesh excus ganesh remov obstacl shiva destroy smoke clear abraham lincoln speak hindi drink mint julep dear take order nevertheless reflect littl bird told appar magnific beast,Raj
24,guy readi order back alright boss say either order leav never come back shower alright thank sheldon well good classic burger ranch hous burger barbecu burger kobe burger barbecu burger like howard ask girl scientist yeah leonard know play cello realli howard perform worst beatbox imagin actual music friend realli cute anyth go guy would make cute coupl open door sheldon go sorri okay sweeti know think explain realli well come went colleg alright look doorknob usual mean someon want disturb know get busi well either lost rack gotten realli bryan adam realli stand come know leonard girl right wait leav state roommat know hmmm good good leonard okay night matter sheldon ask wrong girl usual side leonard go pretti good think good well littl bird told lesley hook last night seriou like alright well talk later happi leonard everyth realli know psychiatrist thing lesley well worri sure someon right walk away smile,Penny
25,know annihil incompet inabl peopl follow chain command want talk fact wolowitz shot back give clear concis order sure consid frag troop howard clear space calendar enquiri danc thing halloween parti costum random genr specif comic book anim film manga greek god roman god nors god also wear flash costum want costum meet care anybodi get go doppler effect demonstr neeeeoooowwwww well exactli mean embarrass well noth embarrass father work lewi leakey great anthropologist noth wet said parti start seven time costum parad start yeah judg give prize best costum know frighten authent accur visual represent scientif principl parti go suck appar chang frequenc wave caus rel motion sourc wave observ peopl confus costum parad telepath kind sloppi costum result lack rule competit well actual might abl help like jane goodal observ ape initi interact confus unstructur pattern emerg languag well seem newcom approach exist group greet wast approv choru dude gotten good luck hardli think afraid embarrass alright go flight metaphor much suit analys wreckag hello give hint neeeeooooowwwww close neeeeeoooooowwwww neeeeeooooowwwwww doppler effect well doppler effect suppos besid disrupt local graviti field snap guess leav back hypothesi mayb want friend want someth much closer male partner anim partner larg primordi eggplant pretti much whatev tickl fanci true text back face face go wait go stand coffe tabl given reaction costum parti scath indict american educ system anoth child left behind neither tall immort none could flash offenc understand troubl troubl remind moral support absolut physic confront less useless hobbit back happi halloween leav consol thought homo habilu line realli place peopl upset cultur convent bring beverag want talk good realli good night leonard come open door howard mayb aveng summon thank clarif well sure fine hammer,Sheldon
26,come battl battl lose think acknowledg fairli savag adolesc jew sheldon behind tree yell yarmulkah yarmulkah hello penni parti yeah know penni realli thank thank think theme ask come anyon scienc fiction fantasi enter wear flash costum open door costum chang okay nobodi get flash chang agre call frodo went thor sheldon someth want talk parti terrif parti first chanc penni context social group need embarrass tonight exampl tonight need know middl name leakey say parti perfect opportun penni member peer group potenti close friend perhap want look like dork sorri late actual penni doppler effect okay socialis meet peopl catwoman gener stuff want know penni friend know talk peopl happen ridicul jump come come need wing tell peopl zebra frodo penni boyfriend bigger moon orbit leav know crash parti penni even want penni kurt mayb want friend equal ground look year virtu size strength kurt would entitl choic femal partner societi undergon paradigm shift inform sheldon alpha male back go assert domin face face hello penni hello kurt hobbit hobbit mortal halfl inhabit middl earth wherea immort tall warrior think talk penni okay understand impuls physic intimid mean compet intellectu level driven animalist pufferi said animalist cours anim climb littl higher evolutionari tree penni okay handl dwarf hobbit hobbit misfir neuron hippocampu prevent convers short term long term memori homo habilu discov oppos thumb say think made point go confront fact doubt even spell confront yeah fine good good parti thank get littl late good night sheldon penni fine fault parti noth perfect penni much drink tonight sure drunk angri kurt someth go yeah frickin geniu guy like human race surviv probabl right roll shire close door quickli lock chain,Leonard
27,absolut humili lose kyle bernstein mitzvah parti shot good reason lead disast morn girl parti costum gentlemen sew machin enter speed also wear flash costum bjow stare shock girl parti flash run solo peter robin hood head fella anyon get lucki dozen condom quiver girl bathroom peter hand pixi dust name thank peanut afford swell tight guy check sexi nurs believ time turn head cough go mirror techniqu brush hair back brush hair back shrug shrug subconsci think sync belong togeth know psycholog journal internet research great show pick girl work stethoscop mayb like hear heart skip beat serious transient idiopath arrhythmia seen koothrapali marvel comic stori origin nors suppos give ride home,Howard
28,okay els realli suck paintbal make fastest aliv enter also flash costum could walk right behind night look like person go realli fast enter dress thor sorri late hammer stuck door indian nors indian racism mean look wolowitz english dress like peter sheldon enter bodi suit featur black white vertic line neither sound light obvious doppler effect realli peter dress exactli like cathi rigbi littl bigger basic look mmmm odin beard good chex penni wear worst catwoman costum ever seen includ hall berri move confid difficulti speak women around women time even effemin,Raj
29,arriv guy paintbal okay parti saturday guy around come yeah well boy girl parti bunch friend beer littl danc sure come halloween well yeah yeah halloween usual follow sure fine cours anyth want okay costum want open door costum guy late well yeah start parti seven show know seven okay well come probabl home parad sheldon sorri go parad judg prize come go look great mean look thor peter cute sheldon suppos sure doppler effect alright shower guy make comfort cross room costum speak someon screen guy good time alright kurt nice kurt cours right leonard okay kurt pleas kurt instant care finish leonard okay okay alright well thank come knock door enter leonard want make sure okay sorri happen broke alway stuff like well last week apologet chang go believ idiot alway believ guy like back parti know want hear upset realli drunk want burst tear rest head leonard shoulder wrong perfect realli think kiss yeah might realli smart leonard great guy like probabl doorway thank kiss kurt watch,Penny
30,play mock flaw technolog halo night suppos start eight first decid lost minut come game time bathroom time pizza break fresh hell know apologis earlier outburst need halo regal delight folksi tale whore omaha good grief cannot believ peopl horoscop seriou note still play halo play play team wheel great idea rel great idea notion rather sucki penni penni penni complex battl simul steep learn curv myriad weapon vehicl strategi master mention extrem intric back stori mine whoever partner hamstrung lack experi mention fact anoth explos okay good sportsmanship shoot somebodi respawn need give chanc explos come corner cover okay know cheat attract skill video game laugh wait need tech support anoth thing certain ethic game penni well estab well could said goodby call carpal tunnel syndrom quit frankli deserv hold thought leonard moment begin well first hous guest frankli could afford rent leav well earthquak suppli earthquak three trap could food tomorrow afternoon ever think happen engag reductio absurdum logic fallaci extend someon argument ridicul proport criticis result appreci okay well sinc obvious ignor morn schedul bathroom plan ablut bodili function accordingli suggest liquid hmmph wrong head goe cultur univers even temporari alway orient headboard away door serv ancient imper protect oneself maraud toothbrush jump window pleas come funer good night everi saturday sinc live apart awaken pour bowl cereal ad quarter milk couch turn america watch doctor everi saturday sinc live apart awaken pour bowl cereal neither invalid woman celebr mother okay cereal lost molecular integr bowl shred wheat past well belov children book never read sheldon terrif run cute littl well settl christi stay howard penni back apart watch last minut doctor although point like doctor bother talk everybodi imagin mani kosher corn husker sorri cannot without wolowitz walk standard steam dumpl appet gener chicken beef broccoli shrimp lobster sauc veget main problem entir order predic four dumpl four entre divid among four peopl fine want elimin get extra dumpl longer dumpl open best small open face sandwich put need ahead collect good point waiter come punish death fill dumpl need elimin anoth entre divid tell cannot without wolowitz seen penni chines food use fork doubl dip roll exactli know ton halo night penni would much appreci would fourth member halo team think need tell honour halo night danc everi wednesday danc night tonight halo night like talk wall portray complet irrat okay assum could danc three chines restaur assur cut dumpl third child play compar three attempt danc woman anger basic mathemat restor semblanc balanc univers go choos halo know upgrad includ high graphic enhanc weapon system point halo night shhh shoot cloak call cloak dead said tank life paus,Sheldon
